title,category,date,link,image
"Sah, Luna Maya dan Maxime Bouttier Resmi Menikah",HYPE,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/162643866/sah-luna-maya-dan-maxime-bouttier-resmi-menikah,https://asset.kompas.com/crops/LG-kBbfrbXyQESah1bRPZ9jLGhw=/95x0:929x556/230x153/data/photo/2025/05/07/681b25eddc4f9.png
"13 Tanda Ginjal Bermasalah yang Dirasakan di Malam Hari, Salah Satunya Sesak Nafas",PROV,07/05/2025,https://www.kompas.com/jawa-tengah/read/2025/05/07/164035688/13-tanda-ginjal-bermasalah-yang-dirasakan-di-malam-hari-salah,https://asset.kompas.com/crops/BhF1FFXwA5_pzV_iSYzOyiML3qM=/0x250:1000x917/230x153/data/photo/2025/05/03/6815c71b808b2.jpg
Kementerian BUMN Tunjuk Rivan A Purwantono Jadi Direktur Utama PT Jasa Marga,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/18115761/kementerian-bumn-tunjuk-rivan-a-purwantono-jadi-direktur-utama-pt-jasa-marga,https://asset.kompas.com/crops/a6inarQv2DzvuMlkpi2JHpWeXr8=/0x0:2000x1333/230x153/data/photo/2025/05/07/681b3dfdea5ee.jpg
Long Weekend Mei 2025 Kapan? Cek Tanggal Merah Kalender Bulan Ini,PROV,07/05/2025,https://www.kompas.com/sulawesi-selatan/read/2025/05/07/172701388/long-weekend-mei-2025-kapan-cek-tanggal-merah-kalender-bulan,https://asset.kompas.com/crops/V4AZm7_yAe7SoE-I8Z64EoL86ro=/66x1:863x533/230x153/data/photo/2025/04/19/68039ec35a826.png
"Maskawin Pernikahan Luna Maya dan Maxime Bouttier: 7,5 Gram Logam Mulia dan Uang 2.025 Dollar",HYPE,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/163520966/maskawin-pernikahan-luna-maya-dan-maxime-bouttier-75-gram-logam-mulia-dan,https://asset.kompas.com/crops/b7tLMrB8yamqmQfH5LvEfwvkpLc=/0x0:0x0/230x153/data/photo/2025/05/07/681b274811927.jpg
"Menangis di Pernikahan Luna Maya, Raffi Ahmad: Akhirnya Menemukan Pelabuhan Terindahmu",HYPE,07/05/2025,https://www.kompas.com/hype/read/2025/05/07/182838266/menangis-di-pernikahan-luna-maya-raffi-ahmad-akhirnya-menemukan-pelabuhan,https://asset.kompas.com/crops/kslS2jNVB2VXNmjyYsDloRtF2HQ=/0x31:454x334/230x153/data/photo/2025/05/07/681b435479073.png
Crazy Rich Surabaya Gabriel Rey Belikan Mobil Baru untuk Korban yang Ditabraknya,REGIONAL,07/05/2025,https://surabaya.kompas.com/read/2025/05/07/173811678/crazy-rich-surabaya-gabriel-rey-belikan-mobil-baru-untuk-korban-yang,https://asset.kompas.com/crops/Cud2_tryg4fVNXxkbsOReD8FSMI=/259x245:765x582/230x153/data/photo/2025/05/02/6814997a2af7e.png
Kemenkes Sebut Hanya Dokter Piprim yang Keberatan Soal Keberadaan Kolegium,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/16485851/kemenkes-sebut-hanya-dokter-piprim-yang-keberatan-soal-keberadaan-kolegium,https://asset.kompas.com/crops/pORdol6inJCiD82kBRtUXrUS8QI=/0x0:0x0/230x153/data/photo/2025/05/07/681b1eff8aaab.jpg
Transjakarta dan MRT Resmi Gratis Mulai Hari Ini untuk Masyarakat Tertentu,NEWS,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/16475521/transjakarta-dan-mrt-resmi-gratis-mulai-hari-ini-untuk-masyarakat,https://asset.kompas.com/crops/_Yjr7SgZxswhbVgivDyIqWaCb1Q=/0x24:800x558/230x153/data/photo/2025/04/17/6800167bd979f.jpg
Anggaran Renovasi Sekolah Rusak Rp 20 Miliar Turut Dikorupsi Mbak Ita dan Suami,REGIONAL,07/05/2025,https://regional.kompas.com/read/2025/05/07/165348278/anggaran-renovasi-sekolah-rusak-rp-20-miliar-turut-dikorupsi-mbak-ita-dan,https://asset.kompas.com/crops/cLpPwiIK3nhsy_ybFwvwUkUHtp4=/0x0:0x0/230x153/data/photo/2025/05/07/681b2667a292d.jpg
"Tolak Rp 150 Juta dari OCI, Eks Pemain Sirkus Tuntut Rp 700 Juta Per Orang",NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/17032871/tolak-rp-150-juta-dari-oci-eks-pemain-sirkus-tuntut-rp-700-juta-per-orang,https://asset.kompas.com/crops/apQffjUZcFKDFHRBr9fUgb9-F0k=/0x0:0x0/230x153/data/photo/2025/05/06/6819941b750ee.jpg
Tawaran Jabatan Komisaris untuk Riezky Aprilia PDIP demi Harun Masiku,NEWS,07/05/2025,https://nasional.kompas.com/read/2025/05/07/16021941/tawaran-jabatan-komisaris-untuk-riezky-aprilia-pdip-demi-harun-masiku,https://asset.kompas.com/crops/IDjWzqSam0ox_CKfK13HzDOj0bw=/0x0:0x0/230x153/data/photo/2025/05/07/681ad2aedff07.jpeg
Ini Profil 4 Wali Kota dan Bupati Baru Jakarta,NEWS,07/05/2025,https://megapolitan.kompas.com/read/2025/05/07/19414881/ini-profil-4-wali-kota-dan-bupati-baru-jakarta,https://asset.kompas.com/crops/k8StiaCnnarCqbvkJhzUiW3_k4Y=/95x0:3539x2296/230x153/data/photo/2025/05/07/681b38f96d788.jpg
