title,category,date,link,image
Luhut Sebut Pihak yang Minta Wapres Gibran Dicopot Kampungan,NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19315711/luhut-sebut-pihak-yang-minta-wapres-gibran-dicopot-kampungan,https://asset.kompas.com/crops/L26aOgfnRyM5nZSAvrqRKuFXcOA=/0x0:0x0/230x153/data/photo/2025/02/19/67b5779228068.jpeg
Respons Alyssa Daguise Saat Ahmad Dhani Berencana Pasang Joglo Rp 1 Miliar di Tempat Resepsi,HYPE,05/05/2025,https://www.kompas.com/hype/read/2025/05/05/170500766/respons-alyssa-daguise-saat-ahmad-dhani-berencana-pasang-joglo-rp-1-miliar,https://asset.kompas.com/crops/yj0WWOv1OjP-p3JuQ9-nRJtcPjg=/0x0:0x0/230x153/data/photo/2024/09/10/66dfffad52b91.jpg
"Profil Laksamana Muda Kresno, Jenderal AL yang Dimutasi ke AD",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/17024841/profil-laksamana-muda-kresno-jenderal-al-yang-dimutasi-ke-ad,https://asset.kompas.com/crops/Fn0DRB_grsiCmCFSXirV0SwNXQk=/0x0:0x0/230x153/data/photo/2024/07/12/6690ec0f89615.jpeg
"Luhut Bawa-bawa Jokowi, Usai Pertumbuhan Ekonomi RI Tak Capai 5 Persen",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16090191/luhut-bawa-bawa-jokowi-usai-pertumbuhan-ekonomi-ri-tak-capai-5-persen,https://asset.kompas.com/crops/C9AkFFaMk60VY3JpQ1BDFtSlLAM=/294x71:1200x675/230x153/data/photo/2025/03/31/67ea4218e1204.jpg
"Dudung Minta Hercules dan Gatot Nurmantyo Tak Saling Serang: Redam Emosi, Semua Sudah Dewasa",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/21120551/dudung-minta-hercules-dan-gatot-nurmantyo-tak-saling-serang-redam-emosi,https://asset.kompas.com/crops/5zVa3kEmL27A_wBurrOJXUcinCU=/0x0:0x0/230x153/data/photo/2025/05/05/6818aebf75ac7.jpg
"Prabowo: Saya Dibilang Presiden Boneka, Dikendalikan Jokowi, Tidak Benar!",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16440061/prabowo-saya-dibilang-presiden-boneka-dikendalikan-jokowi-tidak-benar,https://asset.kompas.com/crops/DnfdwU4swRq0bDwvgZc1wsEay1U=/0x0:0x0/230x153/data/photo/2025/05/03/681634a39020c.jpg
"Prabowo: Peristiwa Madiun Seolah-olah Itu Komunis, Ternyata Belanda",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/17120991/prabowo-peristiwa-madiun-seolah-olah-itu-komunis-ternyata-belanda,https://asset.kompas.com/crops/QOFTh14RjEwP_p0U63cq0WQL-yk=/0x0:0x0/230x153/data/photo/2025/05/05/68188c378f597.jpg
"Sempat Ganti Nama dan Berpindah Kota, Begini Cara Eks Teller Bank BUMN Buron 8 Tahun Usai Korupsi Rp 2 Miliar",REGIONAL,05/05/2025,https://regional.kompas.com/read/2025/05/05/200752378/sempat-ganti-nama-dan-berpindah-kota-begini-cara-eks-teller-bank-bumn-buron,https://asset.kompas.com/crops/JMbQpKgSengQ4MZ6A7ooW5eaCF4=/0x0:0x0/230x153/data/photo/2025/05/05/6818a53b580ff.jpg
"Persib Juara Liga 1 2024-2025, Gelar Bermakna bagi Gustavo Franca",BOLA,05/05/2025,https://bola.kompas.com/read/2025/05/05/19303048/persib-juara-liga-1-2024-2025-gelar-bermakna-bagi-gustavo-franca,https://asset.kompas.com/crops/HoZUxDbiUMeNw4UOYegBBr2Lp7g=/0x0:3693x2462/230x153/data/photo/2025/05/05/6818a31712bb1.jpeg
"Tramadol Dijual Terang-terangan di Jalan KS Tubun Tanah Abang, Pejalan Takut Melintas",NEWS,05/05/2025,https://megapolitan.kompas.com/read/2025/05/05/16050661/tramadol-dijual-terang-terangan-di-jalan-ks-tubun-tanah-abang-pejalan,https://asset.kompas.com/crops/5Rb9Bl17lgM6xWpkPNW5eIB2XoQ=/0x0:0x0/230x153/data/photo/2025/05/05/68186c103ff21.jpg
"Dudung Sebut Pembatalan Mutasi Letjen Kunto Biasa Saja: Dulu Pernah Pak Hadi, Pak Gatot",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19473251/dudung-sebut-pembatalan-mutasi-letjen-kunto-biasa-saja-dulu-pernah-pak-hadi,https://asset.kompas.com/crops/5zVa3kEmL27A_wBurrOJXUcinCU=/0x0:0x0/230x153/data/photo/2025/05/05/6818aebf75ac7.jpg
Luhut soal Isu Pemakzulan Gibran: Ribut-ribut Begitu Kampungan,NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19120051/luhut-soal-isu-pemakzulan-gibran--ribut-ribut-begitu-kampungan,https://asset.kompas.com/crops/d3G7A7_HZqsUWfDHhCSlkgi1jQs=/0x0:0x0/230x153/data/photo/2025/02/18/67b42878a193f.jpg
"TNI Gerebek Kasus Narkoba di Bima, Kepala BNN Singgung Tugas Masing-Masing",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16131611/tni-gerebek-kasus-narkoba-di-bima-kepala-bnn-singgung-tugas-masing-masing,https://asset.kompas.com/crops/_LOTY0Kdr31IRC5fVI0lxtzeL9U=/0x0:1000x667/230x153/data/photo/2023/12/08/6572f57ba90f3.jpg
"Datangi Rumah Remaja Ditembak Mati Kapolres Belawan, Kapolda Berduka, Janji Terbuka",REGIONAL,05/05/2025,https://medan.kompas.com/read/2025/05/05/202416378/datangi-rumah-remaja-ditembak-mati-kapolres-belawan-kapolda-berduka-janji,https://asset.kompas.com/crops/kvgYUa8xd10Kg9NY4TY5snP9qtA=/0x0:0x0/230x153/data/photo/2025/05/05/6818b35771cec.jpg
"Gibran Hadir Sidang Kabinet, Simak Saat Prabowo Singgung Isu Ijazah Palsu",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16433571/gibran-hadir-sidang-kabinet-simak-saat-prabowo-singgung-isu-ijazah-palsu,https://asset.kompas.com/crops/10B2fuRpwzUjzpq4FRy6gplt4FY=/240x90:1174x713/230x153/data/photo/2025/05/05/681887486e4cd.png
"Dicecar Arteria Dahlan, Guru Besar Unsoed: Gratifikasi Sumber Kejahatan, tapi Dianggap Rezeki Anak Saleh",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/18254251/dicecar-arteria-dahlan-guru-besar-unsoed-gratifikasi-sumber-kejahatan-tapi,https://asset.kompas.com/crops/r6lSfwyu_WJDAYJk9byJvg_Ms0s=/158x196:2605x1828/230x153/data/photo/2025/05/05/681855f011814.jpg
"6 Tanda Tekanan Darah Tinggi yang Dirasakan Saat Tidur, Jangan Diabaikan",TREN,05/05/2025,https://www.kompas.com/tren/read/2025/05/05/193000065/6-tanda-tekanan-darah-tinggi-yang-dirasakan-saat-tidur-jangan-diabaikan-,https://asset.kompas.com/crops/hir9mi-ezeXzKs1AANmbPkxkMi8=/2x0:1195x795/230x153/data/photo/2025/03/20/67db979c92710.jpg
"Persik Vs Persebaya 3-3, Tandukan Fergonzi Bawa Persib Bandung Juara Liga 1",BOLA,05/05/2025,https://bola.kompas.com/read/2025/05/05/17314078/persik-vs-persebaya-3-3-tandukan-fergonzi-bawa-persib-bandung-juara-liga-1,https://asset.kompas.com/crops/N7x_DU_rHr5jMYgrrvlq3AppqQw=/562x367:3656x2430/230x153/data/photo/2025/05/05/68188c153f231.jpeg
"Kata Luhut, Tak Ada yang Aneh dengan Kisruh Mutasi Letjen Kunto Usai Try Sutrisno Dukung Pemakzulan Gibran",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19092081/kata-luhut-tak-ada-yang-aneh-dengan-kisruh-mutasi-letjen-kunto-usai-try,https://asset.kompas.com/crops/C9AkFFaMk60VY3JpQ1BDFtSlLAM=/294x71:1200x675/230x153/data/photo/2025/03/31/67ea4218e1204.jpg
"8 Tahun Buron, Mantan Teller Korupsi Rp 2 M Ditangkap di Bandar Lampung",REGIONAL,05/05/2025,https://regional.kompas.com/read/2025/05/05/190228978/8-tahun-buron-mantan-teller-korupsi-rp-2-m-ditangkap-di-bandar-lampung,https://asset.kompas.com/crops/JMbQpKgSengQ4MZ6A7ooW5eaCF4=/0x0:0x0/230x153/data/photo/2025/05/05/6818a53b580ff.jpg
Klasemen Liga 1 2024-2025 Usai Persib Dipastikan Juara Beruntun,BOLA,05/05/2025,https://bola.kompas.com/read/2025/05/05/17584558/klasemen-liga-1-2024-2025-usai-persib-dipastikan-juara-beruntun,https://asset.kompas.com/crops/1sDWlVbeME0GJTPLxi8jxlDxHAU=/0x0:3693x2462/230x153/data/photo/2025/04/26/680cfd5abdb90.jpeg
"Ditemui Sesama Hakim Pembebas Ronald Tannur, Heru Hanindyo: Dia Menyesal Seret Nama Saya",NEWS,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16325371/ditemui-sesama-hakim-pembebas-ronald-tannur-heru-hanindyo-dia-menyesal-seret,https://asset.kompas.com/crops/FLgcohy6VUO06QH5pkU66f5vUYA=/0x0:0x0/230x153/data/photo/2025/04/29/6810dc05b309b.jpg
Mengapa Pindai Iris Mata di WorldID Bisa Dapat Uang?,NEWS,05/05/2025,https://megapolitan.kompas.com/read/2025/05/05/17464211/mengapa-pindai-iris-mata-di-worldid-bisa-dapat-uang,https://asset.kompas.com/crops/dBC704tJ4RNPfa50PwYCtnXz4AY=/0x47:1548x1079/230x153/data/photo/2025/05/05/681832086641a.png
