title,category,date,link
luhut sebut pihak yang minta wapres gibran dicopot kampungan,Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19315711/luhut-sebut-pihak-yang-minta-wapres-gibran-dicopot-kampungan
respons alyssa daguise saat ahmad dhani berencana pasang joglo rp 1 miliar di tempat resepsi,Kuliner,05/05/2025,https://www.kompas.com/hype/read/2025/05/05/170500766/respons-alyssa-daguise-saat-ahmad-dhani-berencana-pasang-joglo-rp-1-miliar
"profil laksamana muda kresno, jenderal al yang dimutasi ke ad",Militer,05/05/2025,https://nasional.kompas.com/read/2025/05/05/17024841/profil-laksamana-muda-kresno-jenderal-al-yang-dimutasi-ke-ad
"luhut bawa-bawa jokowi, usai pertumbuhan ekonomi ri tak capai 5 persen",Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16090191/luhut-bawa-bawa-jokowi-usai-pertumbuhan-ekonomi-ri-tak-capai-5-persen
"dudung minta hercules dan gatot nurmantyo tak saling serang: redam emosi, semua sudah dewasa",Lainnya,05/05/2025,https://nasional.kompas.com/read/2025/05/05/21120551/dudung-minta-hercules-dan-gatot-nurmantyo-tak-saling-serang-redam-emosi
"prabowo: saya dibilang presiden boneka, dikendalikan jokowi, tidak benar!",Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16440061/prabowo-saya-dibilang-presiden-boneka-dikendalikan-jokowi-tidak-benar
"prabowo: peristiwa madiun seolah-olah itu komunis, ternyata belanda",Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/17120991/prabowo-peristiwa-madiun-seolah-olah-itu-komunis-ternyata-belanda
"sempat ganti nama dan berpindah kota, begini cara eks teller bank bumn buron 8 tahun usai korupsi rp 2 miliar",Kriminal,05/05/2025,https://regional.kompas.com/read/2025/05/05/200752378/sempat-ganti-nama-dan-berpindah-kota-begini-cara-eks-teller-bank-bumn-buron
"persib juara liga 1 2024-2025, gelar bermakna bagi gustavo franca",Olahraga,05/05/2025,https://bola.kompas.com/read/2025/05/05/19303048/persib-juara-liga-1-2024-2025-gelar-bermakna-bagi-gustavo-franca
"tramadol dijual terang-terangan di jalan ks tubun tanah abang, pejalan takut melintas",Lainnya,05/05/2025,https://megapolitan.kompas.com/read/2025/05/05/16050661/tramadol-dijual-terang-terangan-di-jalan-ks-tubun-tanah-abang-pejalan
"dudung sebut pembatalan mutasi letjen kunto biasa saja: dulu pernah pak hadi, pak gatot",Lainnya,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19473251/dudung-sebut-pembatalan-mutasi-letjen-kunto-biasa-saja-dulu-pernah-pak-hadi
luhut soal isu pemakzulan gibran: ribut-ribut begitu kampungan,Politik,05/05/2025,https://nasional.kompas.com/read/2025/05/05/19120051/luhut-soal-isu-pemakzulan-gibran--ribut-ribut-begitu-kampungan
"tni gerebek kasus narkoba di bima, kepala bnn singgung tugas masing-masing",Kriminal,05/05/2025,https://nasional.kompas.com/read/2025/05/05/16131611/tni-gerebek-kasus-narkoba-di-bima-kepala-bnn-singgung-tugas-masing-masing
