title,date,link,category
mengejutkan! oknum tni al gadaikan motor rp15 juta demi bunuh jurnalis juwita pakai tangan kosong,06/05/2025,https://www.tribunnews.com/regional/2025/05/06/mengejutkan-oknum-tni-al-gadaikan-motor-rp15-juta-demi-bunuh-jurnalis-juwita-pakai-tangan-kosong,Lainnya
"baru sebulan menikah, agus buntung dituntut penjara 12 tahun, denda rp 100 juta",06/05/2025,https://www.tribunnews.com/regional/2025/05/06/baru-sebulan-menikah-agus-buntung-dituntut-penjara-12-tahun-denda-rp-100-juta,Kriminal
menyambut senyum partinem dan 457 jemaah haji disabilitas lain di tanah suci,06/05/2025,https://www.tribunnews.com/haji/2025/05/06/menyambut-senyum-partinem-dan-457-jemaah-haji-disabilitas-lain-di-tanah-suci,Lainnya
"gemriah fest 2025 pecah di jambi, dewa 19 bikin ribuan penonton larut dalam nostalgia",06/05/2025,https://www.tribunnews.com/seleb/2025/05/06/gemriah-fest-2025-pecah-di-jambi-dewa-19-bikin-ribuan-penonton-larut-dalam-nostalgia,Hiburan
"jadwal badminton taipei open 2025 hari ini: 6 wakil indonesia main, verrel/lisa debut",06/05/2025,https://www.tribunnews.com/sport/2025/05/06/jadwal-badminton-taipei-open-2025-hari-ini-6-wakil-indonesia-main-verrellisa-debut,Olahraga
"awas barcelona, inter milan sudah punya rencana khusus untuk hentikan lamine yamal",06/05/2025,https://www.tribunnews.com/superskor/2025/05/06/awas-barcelonainter-milan-sudah-punya-rencana-khusus-untuk-hentikan-lamine-yamal,Olahraga
sosok misterius aldi monyet begal sadis penembak aiptu noval di makassar,06/05/2025,https://www.tribunnews.com/regional/2025/05/06/sosok-misterius-aldi-monyet-begal-sadis-penembak-aiptu-noval-di-makassar,Kriminal
jadwal semifinal liga champions live sctv: inter milan & barcelona rebutan tiket final pertama,06/05/2025,https://www.tribunnews.com/superskor/2025/05/06/jadwal-semifinal-liga-champions-live-sctv-inter-milan-barcelona-rebutan-tiket-final-pertama,Olahraga
"besok bill gates ke indonesia beri penghargaan program mbg, prabowo akui saat ini belum pantas",06/05/2025,https://www.tribunnews.com/nasional/2025/05/06/besok-bill-gates-ke-indonesia-beri-penghargaan-program-mbg-prabowo-akui-saat-ini-belum-pantas,Lainnya
"berjasa bagi sejarah perjalanan kampus, 4 tokoh dapat anugerah insan berprestasi uns 2025",06/05/2025,https://www.tribunnews.com/nasional/2025/05/06/berjasa-bagi-sejarah-perjalanan-kampus-4-tokoh-dapat-anugerah-insan-berprestasi-uns-2025,Pendidikan
"lisa mariana viral, barbie kumalasari beri wejangan untuk sang model, singgung soal pergaulan",06/05/2025,https://www.tribunnews.com/seleb/2025/05/06/lisa-mariana-viral-barbie-kumalasari-beri-wejangan-untuk-sang-model-singgung-soal-pergaulan,Lainnya
9 fakta mengejutkan kasus perdagangan seks sean 'diddy' combs yang bikin heboh amerika,06/05/2025,https://www.tribunnews.com/internasional/2025/05/06/9-fakta-mengejutkan-kasus-perdagangan-seks-sean-diddy-combs-yang-bikin-heboh-amerika,Kriminal
"soal usulan pemakzulan gibran, luhut: ribut-ribut begitu kampungan",06/05/2025,https://www.tribunnews.com/nasional/2025/05/06/soal-usulan-pemakzulan-gibran-luhut-ribut-ribut-begitu-kampungan,Politik
"gagal raih emas, ketum pbsi dan taufik hidayat tetap bangga sambut kepulangan tim piala sudirman",06/05/2025,https://www.tribunnews.com/sport/2025/05/06/gagal-raih-emas-ketum-pbsi-dan-taufik-hidayat-tetap-bangga-sambut-kepulangan-tim-piala-sudirman,Olahraga
"stok beras ri mencapai 3,5 juta ton, mentan amran ingatkan hal ini ke bulog",06/05/2025,https://www.tribunnews.com/bisnis/2025/05/06/stok-beras-ri-mencapai-35-juta-ton-mentan-amran-ingatkan-hal-ini-ke-bulog,Lainnya
"bocoran untuk inter milan, kroos beberkan kunci permainan barcelona, bukan raphinha atau yamal",06/05/2025,https://www.tribunnews.com/superskor/2025/05/06/bocoran-untuk-inter-milan-kroos-beberkan-kunci-permainan-barcelona-bukan-raphinha-atau-yamal,Olahraga
"maskapai global putar arah, cari rute baru demi hindari wilayah konflik india-pakistan",06/05/2025,https://www.tribunnews.com/internasional/2025/05/06/maskapai-global-putar-arah-cari-rute-baru-demi-hindari-wilayah-konflik-india-pakistan,Militer
"7 orang tewas dalam kecelakaan tragis dekat yellowstone, van tur dan truk terbakar di idaho",06/05/2025,https://www.tribunnews.com/internasional/2025/05/06/7-orang-tewas-dalam-kecelakaan-tragis-dekat-yellowstone-van-tur-dan-truk-terbakar-di-idaho,Lainnya
"kasus suap proyek pltu 2 cirebon terseret hingga korea selatan, kantor pusat hyundai e&c digeledah",06/05/2025,https://www.tribunnews.com/nasional/2025/05/06/kasus-suap-proyek-pltu-2-cirebon-terseret-hingga-korea-selatan-kantor-pusat-hyundai-ec-digeledah,Kriminal
"prabowo akui 200 kasus keracunan di program makan bergizi gratis, tapi keberhasilan 99,9 persen",06/05/2025,https://www.tribunnews.com/nasional/2025/05/06/prabowo-akui-200-kasus-keracunan-di-program-makan-bergizi-gratis-tapi-keberhasilan-999-persen,Kriminal
mengejutkan! oknum tni al gadaikan motor rp15 juta demi bunuh jurnalis juwita pakai tangan kosong,06/05/2025,https://www.tribunnews.com/regional/2025/05/06/mengejutkan-oknum-tni-al-gadaikan-motor-rp15-juta-demi-bunuh-jurnalis-juwita-pakai-tangan-kosong,Lainnya
